,sim_num,times,best_arm_counter,best_prob_counter,rewards,cumulative_rewards,regrets,cumulative_regrets,completion_time
0,1,1,76,0.1895118121316403,10.0,10.0,9.512929628486063,9.512929628486063,0.2771720886230469
1,1,2,76,0.1895118121316403,8.0,18.0,10.775961747394941,20.288891375881004,0.32848215103149414
2,1,3,76,0.1895118121316403,7.0,25.0,10.775961747394941,31.064853123275945,0.3583228588104248
3,1,4,76,0.1895118121316403,10.0,35.0,10.775961747394941,41.84081487067088,0.3416581153869629
4,1,5,76,0.1895118121316403,9.0,44.0,10.775961747394941,52.61677661806583,0.35721397399902344
5,1,6,76,0.1895118121316403,8.0,52.0,10.775961747394941,63.39273836546077,0.43233489990234375
6,1,7,76,0.1895118121316403,9.0,61.0,10.775961747394941,74.16870011285572,0.5524260997772217
7,1,8,76,0.1895118121316403,8.0,69.0,10.775961747394941,84.94466186025066,0.44524693489074707
8,1,9,76,0.1895118121316403,4.0,73.0,10.775961747394941,95.7206236076456,0.43404579162597656
9,1,10,76,0.1895118121316403,8.0,81.0,10.775961747394941,106.49658535504055,0.42389607429504395
10,1,11,76,0.1895118121316403,6.0,87.0,10.775961747394941,117.2725471024355,0.5104520320892334
11,1,12,76,0.1895118121316403,7.0,94.0,10.775961747394941,128.04850884983043,0.42373037338256836
12,1,13,76,0.1895118121316403,9.0,103.0,10.775961747394941,138.82447059722537,0.4456450939178467
13,1,14,76,0.1895118121316403,12.0,115.0,10.775961747394941,149.60043234462032,0.5963602066040039
14,1,15,76,0.1895118121316403,7.0,122.0,10.775961747394941,160.37639409201526,0.4758570194244385
15,1,16,76,0.1895118121316403,7.0,129.0,10.775961747394941,171.1523558394102,0.5449590682983398
16,1,17,76,0.1895118121316403,8.0,137.0,10.775961747394941,181.92831758680515,0.5330331325531006
17,1,18,76,0.1895118121316403,6.0,143.0,10.775961747394941,192.7042793342001,0.48848795890808105
18,1,19,76,0.1895118121316403,7.0,150.0,10.775961747394941,203.48024108159504,0.5560309886932373
19,1,20,76,0.1895118121316403,7.0,157.0,10.775961747394941,214.25620282898998,0.5368151664733887
